Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
212	CG212	Veni creator spiritus	Gregoriano			800		M: Gregoriano    (800)- RN193	RN			LIT	SPI		RN193	RN193									;;	Coro e Assemblea
213	CG213	Venite fedeli - Adeste fideles	J. F. Wade	G. Stefani			LDC	"M: J. F. Wade, T: G. Stefani  ed. LDC - RN76"	RN	Tradizionale		LIT	NAT		RN76	RN76	CDP	RCB011				19 - Tempi: Natale			19 - Tempi: Natale;;	Coro e Assemblea
214	CG214	Veniamo da te	Gen Verde		Gratitudine	1978	Città Nuova	"M: Gen Verde , 'Gratitudine'  ed. Città Nuova (1978)-  "	Gen			LIT	ORD		 										;;	Assemblea
215	CG215	Vieni e seguimi	Gen Rosso		Se siamo uniti	1990	Città Nuova	"M: Gen Rosso , 'Se siamo uniti'  ed. Città Nuova (1990)-  "	Gen		Canzone	RIP	RIP		 										;;	Assemblea
216	CG216	Vi consolerò	Gen Verde		Gratitudine	1978	Città Nuova	"M: Gen Verde , 'Gratitudine'  ed. Città Nuova (1978)-  "	Gen		Canzone	LIT	QUA		 										;;	Coro e Assemblea
217	CG217	Vi do la pace						     -  			Canzone	RIP	RIP		 										;;	Assemblea
218	CG218	Vieni in noi	L. Picchi	S. Albisetti	Lodate Dio		Carrara	"M: L. Picchi, T: S. Albisetti, 'Lodate Dio'  ed. Carrara - LD830"	Lodate Dio	Liturgico - Polifonico		LIT	SPI		LD830		LD830	RCB018				15 - Temi: Spirito Santo			15 - Temi: Spirito Santo;;	Coro
219	CG219	Vieni qui tra noi	Gen Rosso e Verde		Come fuoco vivo	1998	Città Nuova	"M: Gen Rosso e Verde , 'Come fuoco vivo'  ed. Città Nuova (1998)-  "	Gen	Liturgico - Moderno	Canzone	LIT	SPI		 			RCB040				15 - Temi: Spirito Santo			15 - Temi: Spirito Santo;;	Coro
220	CG220	Vieni Santo Spirito	M. Piatti			1972		M: M. Piatti    (1972)- CDP568	Altri			LIT	SPI		CDP568		CDP568					15 - Temi: Spirito Santo			15 - Temi: Spirito Santo;;	Coro e Assemblea
221	CG221	Vieni Santo Spirito (Gen)	Gen Verde		Io sarò con voi			"M: Gen Verde , 'Io sarò con voi'   -  "	Gen			LIT	SPI		 							15 - Temi: Spirito Santo			15 - Temi: Spirito Santo;;	Coro e Assemblea
222	CG222	Vieni tra noi signore						     -  				LIT	ORD		 										;;	Assemblea
223	CG223	Vieni vieni Spirito d'amore	Amadei					M: Amadei    -  	Altri			LIT	SPI		 							15 - Temi: Spirito Santo			15 - Temi: Spirito Santo;;	Assemblea
224	CG224	Vivere dentro	Gen Verde		Gratitudine	1978	Città Nuova	"M: Gen Verde , 'Gratitudine'  ed. Città Nuova (1978)-  "	Gen			LIT	MAR		 							22 - Temi: Maria			22 - Temi: Maria;;	Assemblea
225	CG225	Vivere la vita	Gen Verde		E' bello lodarti	2002	Città Nuova	"M: Gen Verde , 'E' bello lodarti'  ed. Città Nuova (2002)-  "	Gen		Canzone	LIT	ORD		 										;;	Assemblea
226	CG226	Vocazione	P. Sequeri					M: P. Sequeri    -  	Sequeri		Canzone	LIT	ORD		 										;;	Assemblea
227	CG227	Voi siete di Dio	M. Balduzzi		Messa Verbum Panis			"M: M. Balduzzi , 'Messa Verbum Panis'   -  "	Gen	Religioso	Canzone	RIP	RIP		 			RCB104	2012			08 - Offertorio	14 - Temi: Matrimonio	12 - Comunione	08 - Offertorio;14 - Temi: Matrimonio;12 - Comunione	Coro
228	CG228	Nei cieli un grido risuonò	G. Greiter	G. Stefani		1500		"M: G. Greiter, T: G. Stefani   (1500)- RN180"	RN			LIT	PAS		RN180	RN180									;;	Assemblea
229	CG229	Ti rendiamo grazie	G. Tranchida		Con voci di gioia	1999	Paoline	"M: G. Tranchida , 'Con voci di gioia'  ed. Paoline (1999)-  "	Altri		Canzone	LIT	ORD		 										;;	Assemblea
230	CG230	Vergine dell'annuncio	A. Parisi	A. M. Galliano			Paoline	"M: A. Parisi, T: A. M. Galliano  ed. Paoline - RN225"	RN			LIT	MAR		RN225	RN225		RCB109	2013			22 - Temi: Maria			22 - Temi: Maria;;	Coro
231	CG231	Innalziamo lo sguardo	F. Buttazzo					M: F. Buttazzo    -  	Buttazzo	Liturgico - Moderno	Canzone	LIT	AVV	ING	 			RCB116	2013			18 - Tempi: Avvento				Coro e Assemblea
232	CG232	Rallegrati popolo di Dio	A. Parisi					M: A. Parisi    -  	Parisi	Liturgico - Moderno		LIT	NAT		 			RCB114	2013			19 - Tempi: Natale				Coro
233	CG233	La tua parola è luce	J. Gelineau					M: J. Gelineau    -  	Taizè	Liturgico - Moderno		LIT	ORD		 				2013			99 - Altro				Assemblea
234	CG234	O Dio dell'universo	T. Zardini					M: T. Zardini    - RN297	RN			LIT	ORD	OFF	RN297	RN297						08 - Offertorio				Assemblea
235	CG235	Annunceremo la tua Parola	M. Zambuto					M: M. Zambuto    -  	Altri	Liturgico - Moderno		LIT	"ORD,PAS"	FIN	 			RCB115	2013							Coro e Assemblea
236	CG236	Luce che domini								Liturgico - Moderno		LIT	AVV													Assemblea
237	CG237	Pane per noi spezzato	Chr. Walker	M. Deflorian						Liturgico - Moderno		LIT	"NAT,EUC"	COM	RN372											Coro e Assemblea
238	CG238	Nel tuo calice	Gen Verde		Cerco il tuo volto	2000	Città Nuova	"M: Gen Verde , 'Cerco il tuo volto'  ed. Città Nuova (2000)"		Liturgico - Moderno			ORD	OFF	 			RCB074				08 - Offertorio			08 - Offertorio;;	Coro
239	CG239	Vita nuova nell'amore	F. Buttazzo					M: F. Buttazzo    					MAT													Coro
240	CG240	Nella tua pace						     					ESE													Assemblea
241	CG241	"Io credo, risorgerò"						     					ESE													Assemblea
242	CG242	Siamo Chiesa del Signore						     					"ORD,BAT"	ING												Coro
243	CG243	Come tu mi vuoi						     					ORD													Assemblea
244	CG244	Incontro te						     					ORD													Assemblea
245	CG245	Cantiamo te						     					ORD													Assemblea
246	CG246	Con la forza del tuo amore						     					"ORD, QUA"													Assemblea
247	CG247	Beati i misericordiosi (Inno GMG 2016)																								Coro
248	CG248	Misericordes sicut Pater																								Coro e Assemblea
249	CG249	Mi affido a te																								Coro
250	CG250	Signore fa di me																								Coro
251	CG251	Benedetto sei tu Signore	Anselmi					M: Anselmi    																		Coro
252	CG252	Quello che abbiamo udito	F. Buttazzo					M: F. Buttazzo    																		Coro
253	CG253	Nostra gloria è la croce di Cristo	M. Frisina									LIT	QUA													Coro
